log_file,profile_stage,label,H,W,K,seed,graded,table_stage,correct,time_ms,gflops,speedup,raw_instructions,raw_l1d_loads,raw_l1d_misses,raw_mpki,isolated_instructions,isolated_l1d_loads,isolated_l1d_misses,isolated_mpki,raw_elapsed_s,isolated_elapsed_s,isolation_note
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,512,512,5,1234,not graded,optimized,yes,0.241,54.46,12.70,634778306,159043599,1008965,1.589476,33224667,9951907,448662,13.503883,0.039708,0.002985,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,1024,1024,3,1234,not graded,naive (ref),yes,4.698,4.02,1.00,1156463584,239234067,5092690,4.403675,1087588944,220339456,2140651,1.968254,0.066688,0.056068,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,1024,1024,3,1234,not graded,optimized,yes,0.502,37.56,9.35,1156463584,239234067,5092690,4.403675,68874640,18894611,2952039,42.861044,0.066688,0.010620,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,1024,1024,5,1234,not graded,naive (ref),yes,13.669,3.84,1.00,2513279747,629496964,4866401,1.936275,2380191527,589660167,2223300,0.934084,0.170806,0.157320,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,1024,1024,5,1234,not graded,optimized,yes,1.073,48.87,12.74,2513279747,629496964,4866401,1.936275,133088220,39836797,2643101,19.859767,0.170806,0.013486,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,2048,2048,3,1234,not graded,naive (ref),yes,22.414,3.37,1.00,4592035684,947921474,20459038,4.455331,4316227905,872280611,8641767,2.002157,0.314596,0.263616,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,2048,2048,3,1234,not graded,optimized,yes,2.222,33.97,10.09,4592035684,947921474,20459038,4.455331,275807779,75640863,11817271,42.846040,0.314596,0.050980,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,2048,2048,5,1234,not graded,naive (ref),yes,57.608,3.64,1.00,10019197914,2508979837,23902450,2.385665,9486414542,2349447435,13492458,1.422293,0.715310,0.650540,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,2048,2048,5,1234,not graded,optimized,yes,4.688,44.73,12.29,10019197914,2508979837,23902450,2.385665,532783372,159532402,10409992,19.538883,0.715310,0.064770,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,4096,4096,3,1234,not graded,naive (ref),yes,82.772,3.65,1.00,18331889583,3782444545,103130028,5.625717,17227392632,3479485120,56241129,3.264634,1.142750,1.022770,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,4096,4096,3,1234,not graded,optimized,yes,9.579,31.53,8.64,18331889583,3782444545,103130028,5.625717,1104496951,302959425,46888899,42.452719,1.142750,0.119980,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,4096,4096,5,1234,not graded,naive (ref),yes,221.237,3.79,1.00,40036047044,10025474311,121154108,3.026126,37905679948,9387518813,79867109,2.106996,2.748900,2.496753,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits512_20260906_150045.log,optimized,tileSize16SIMDbits512,4096,4096,5,1234,not graded,optimized,yes,18.518,45.30,11.95,40036047044,10025474311,121154108,3.026126,2130367096,637955498,41286999,19.380228,2.748900,0.252147,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,512,512,3,1234,not graded,naive (ref),yes,1.008,4.68,1.00,295653456,64989991,1140175,3.856458,278490924,56783492,549211,1.972097,0.016459,0.014643,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,512,512,3,1234,not graded,optimized,yes,0.140,33.67,7.19,295653456,64989991,1140175,3.856458,17162532,8206499,590964,34.433381,0.016459,0.001816,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,512,512,5,1234,not graded,naive (ref),yes,3.065,4.28,1.00,637145537,169065441,1072090,1.682645,601553639,149091692,560303,0.931426,0.041030,0.036723,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,512,512,5,1234,not graded,optimized,yes,0.300,43.66,10.21,637145537,169065441,1072090,1.682645,35591898,19973749,511787,14.379312,0.041030,0.004307,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,1024,1024,3,1234,not graded,naive (ref),yes,4.540,4.16,1.00,1156243817,253151021,4621109,3.996656,1087588944,220339456,2140651,1.968254,0.066680,0.056068,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,1024,1024,3,1234,not graded,optimized,yes,0.606,31.13,7.49,1156243817,253151021,4621109,3.996656,68654873,32811565,2480458,36.129380,0.066680,0.010612,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,1024,1024,5,1234,not graded,naive (ref),yes,13.560,3.87,1.00,2523051030,669676896,4792695,1.899563,2380191527,589660167,2223300,0.934084,0.171034,0.157320,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,1024,1024,5,1234,not graded,optimized,yes,1.238,42.35,10.95,2523051030,669676896,4792695,1.899563,142859503,80016729,2569395,17.985468,0.171034,0.013714,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,2048,2048,3,1234,not graded,naive (ref),yes,22.482,3.36,1.00,4591843545,1003757759,18977034,4.132770,4316227905,872280611,8641767,2.002157,0.333217,0.263616,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,2048,2048,3,1234,not graded,optimized,yes,2.802,26.95,8.02,4591843545,1003757759,18977034,4.132770,275615640,131477148,10335267,37.498841,0.333217,0.069600,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,2048,2048,5,1234,not graded,naive (ref),yes,61.966,3.38,1.00,10058146342,2669662946,23827690,2.368994,9486414542,2349447435,13492458,1.422293,0.774949,0.650540,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,2048,2048,5,1234,not graded,optimized,yes,6.089,34.44,10.18,10058146342,2669662946,23827690,2.368994,571731800,320215511,10335232,18.077063,0.774949,0.124409,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,4096,4096,3,1234,not graded,naive (ref),yes,81.614,3.70,1.00,18397019885,4023034889,95330230,5.181830,17227392632,3479485120,56241129,3.264634,1.165203,1.022770,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,4096,4096,3,1234,not graded,optimized,yes,11.099,27.21,7.35,18397019885,4023034889,95330230,5.181830,1169627253,543549769,39089101,33.420135,1.165203,0.142432,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,4096,4096,5,1234,not graded,naive (ref),yes,221.497,3.79,1.00,40192237035,10668140226,120945510,3.009176,37905679948,9387518813,79867109,2.106996,2.776796,2.496753,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits128_20260906_150401.log,optimized,tileSize32SIMDbits128,4096,4096,5,1234,not graded,optimized,yes,20.948,40.05,10.57,40192237035,10668140226,120945510,3.009176,2286557087,1280621413,41078401,17.965176,2.776796,0.280043,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,512,512,3,1234,not graded,naive (ref),yes,0.985,4.79,1.00,291845797,61953815,1103063,3.779609,278490924,56783492,549211,1.972097,0.015950,0.014643,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,512,512,3,1234,not graded,optimized,yes,0.094,50.16,10.46,291845797,61953815,1103063,3.779609,13354873,5170323,553852,41.471903,0.015950,0.001307,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,512,512,5,1234,not graded,naive (ref),yes,3.113,4.21,1.00,628174254,160810497,1067376,1.699172,601553639,149091692,560303,0.931426,0.039721,0.036723,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,512,512,5,1234,not graded,optimized,yes,0.208,63.05,14.97,628174254,160810497,1067376,1.699172,26620615,11718805,507073,19.048132,0.039721,0.002998,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,1024,1024,3,1234,not graded,naive (ref),yes,4.677,4.04,1.00,1141052522,241012488,4469906,3.917353,1087588944,220339456,2140651,1.968254,0.065980,0.056068,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,1024,1024,3,1234,not graded,optimized,yes,0.409,46.15,11.44,1141052522,241012488,4469906,3.917353,53463578,20673032,2329255,43.567136,0.065980,0.009911,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,1024,1024,5,1234,not graded,naive (ref),yes,13.625,3.85,1.00,2486685199,636517085,4704660,1.891940,2380191527,589660167,2223300,0.934084,0.168681,0.157320,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,1024,1024,5,1234,not graded,optimized,yes,0.861,60.91,15.83,2486685199,636517085,4704660,1.891940,106493672,46856918,2481360,23.300539,0.168681,0.011361,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,2048,2048,3,1234,not graded,naive (ref),yes,22.564,3.35,1.00,4530581318,955065241,18111210,3.997547,4316227905,872280611,8641767,2.002157,0.295714,0.263616,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,2048,2048,3,1234,not graded,optimized,yes,2.188,34.51,10.31,4530581318,955065241,18111210,3.997547,214353413,82784630,9469443,44.176777,0.295714,0.032098,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,2048,2048,5,1234,not graded,naive (ref),yes,57.263,3.66,1.00,9913396372,2537161328,23539519,2.374516,9486414542,2349447435,13492458,1.422293,0.703772,0.650540,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,2048,2048,5,1234,not graded,optimized,yes,3.877,54.09,14.77,9913396372,2537161328,23539519,2.374516,426981830,187713893,10047061,23.530418,0.703772,0.053232,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,4096,4096,3,1234,not graded,naive (ref),yes,87.738,3.44,1.00,18085617544,3810799013,93140410,5.149971,17227392632,3479485120,56241129,3.264634,1.189646,1.022770,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,4096,4096,3,1234,not graded,optimized,yes,9.027,33.45,9.72,18085617544,3810799013,93140410,5.149971,858224912,331313893,36899281,42.994885,1.189646,0.166876,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,4096,4096,5,1234,not graded,naive (ref),yes,223.255,3.76,1.00,39613853286,10138414194,119544146,3.017736,37905679948,9387518813,79867109,2.106996,2.756533,2.496753,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits256_20260906_150452.log,optimized,tileSize32SIMDbits256,4096,4096,5,1234,not graded,optimized,yes,16.420,51.09,13.60,39613853286,10138414194,119544146,3.017736,1708173338,750895381,39677037,23.227758,2.756533,0.259780,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits512_20260906_150536.log,optimized,tileSize32SIMDbits512,512,512,3,1234,not graded,naive (ref),yes,1.000,4.72,1.00,290632938,60536316,1058304,3.641377,278490924,56783492,549211,1.972097,0.017338,0.014643,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits512_20260906_150536.log,optimized,tileSize32SIMDbits512,512,512,3,1234,not graded,optimized,yes,0.079,59.40,12.58,290632938,60536316,1058304,3.641377,12142014,3752824,509093,41.928217,0.017338,0.002695,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits512_20260906_150536.log,optimized,tileSize32SIMDbits512,512,512,5,1234,not graded,naive (ref),yes,3.044,4.31,1.00,624873462,156780519,1017575,1.628450,601553639,149091692,560303,0.931426,0.039545,0.036723,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits512_20260906_150536.log,optimized,tileSize32SIMDbits512,512,512,5,1234,not graded,optimized,yes,0.202,64.75,15.04,624873462,156780519,1017575,1.628450,23319823,7688827,457272,19.608725,0.039545,0.002821,isolated (naive baseline subtracted)
profile_optimized_tileSize32SIMDbits512_20260906_150536.log,optimized,tileSize32SIMDbits512,1024,1024,3,1234,not graded,naive (ref),yes,4.642,4.07,1.00,1136510981,235411204,4286163,3.771334,1087588944,220339456,2140651,1.968254,0.064874,0.056068,substituted from dedicated naive baseline log
profile_optimized_tileSize32SIMDbits512_20260906_150536.log,optimized,tileSize32SIMDbits512,1024,1024,3,1234,not graded,optimized,yes,0.345,54.70,13.45,1136510981,235411204,4286163,3.771334,48922037,15071748,2145512,43.855737,0.064874,0.008806,isolated (naive baseline subtracted)
